Index;Season;Episode;Episode_name;Character_name;Character_race;Gender;Dialog
1;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Better head to work. It's about 60,000 a month for cutting down trees, right? Then there's the kidney I sold. That was 1.2 million. My right eye was 300,000. Sold one of my nuts... How much was that, again? I think... not even 100,000. And I still owe... About 38,040,000 yen. I heard you, Pochita. Let's kill this thing already. A dead devil's usually good for about 300,000... Devil hunting pays the best, easy. Gotta be the Tomato Devil. He'll revive from the seeds, so you'll wanna burn those.
2;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;Nice work, Denji. This carcass will bring in a fair price on the black market. I'll pay you 400,000.
3;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Hey, thanks!
4;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;After what you owe and the interest, that leaves 170,000. So after the finder's fee, admin fee, management costs, and so on...
5;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Leaves me with 70,000. After the water bill, and some other stuff I owe... Funny how that works. I've got 1,800 yen left. No food at home, and this is gonna have to last us a month, so... Pochita, looks like dinner's gonna be a slice of bread.
6;1;1;Dog & Chainsaw;Yakuza 1;Human;Male;Why hire a brat like that to hunt devils?
7;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;He's paying off what he owes us. Well, technically, it was his deadbeat old man's debt.
8;1;1;Dog & Chainsaw;Yakuza 1;Human;Male;And a kid with a pet devil can get the job done?
9;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;The thing about real devil hunters is... They don't pass devil carcasses onto the yakuza. Besides, the best thing about Denji is he does what he's told.
10;1;1;Dog & Chainsaw;Yakuza 1;Human;Male;Hey, dog! I'll give you 100 yen to eat this cigarette.
11;1;1;Dog & Chainsaw;Denji;Hybrid;Male;For real? Don't mind if I do.
12;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;We'll be in touch when there's another devil. Try and run, and you're pig slop.
13;1;1;Dog & Chainsaw;Denji;Hybrid;Male;That'll keep us for another three days. The other day I heard... That normally, people put jam on their bread, before eating it. Normal's just a dream for us, though. Doubt I'll pay off this debt before I die. Probably gonna die without ever having a girlfriend, too. Not like I could invite a girl to this dump. No money to go on dates, either. If I could have one dream come true... I wanna score with a girl before I die.
14;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;Bastard hung himself without paying this month's installment first. Boy, you've got until tomorrow to put 700,000 together. You can beg for it, whore yourself out... I don't care. Get it done. Otherwise, we chop you up and sell the bits.
15;1;1;Dog & Chainsaw;Denji;Hybrid;Male;A ch-chainsaw...? A devil. If you're gonna kill me, just do it. I'm dead either way. It's hurt? You're gonna die, too? Bite me! I heard that drinking blood heals a devil. If you don't wanna die, bite me! My blood's not free, though. This is a deal! I'll help you... So, you help me. Because I don't wanna die, after all. Why don't you hire me as a devil hunter? Too hungry to sleep. When I can't sleep, I start thinking about money, and then it's even harder to sleep. I know what dream I wanna have when I sleep. Gonna put jam on my bread, and share it with you. Then I'm gonna flirt with a girl... I'll play video games with her, and then we'll fall asleep hugging each other. Sounds sweet, right? Y'know, I heard my mom died from some heart disease that made her cough up blood.
16;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;Got a devil for you, Denji. Time for work.
17;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Wish they'd at least let me dream... There's a devil in here, huh? I don't see anything. You think it's hiding? Or maybe it left already?
18;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;Denji, my boy... we're pretty grateful to you, y'know?
19;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Yeah?
20;1;1;Dog & Chainsaw;Yakuza Debt Collector;Human;Male;You're as loyal as a dog, and you work for cheap like one, too. Only problem with dogs is I can't stand the stench. Even yakuza think about getting bigger and making more money, kid. So we did like you, and made a deal with a devil. We wanted demonic power...
21;1;1;Dog & Chainsaw;Zombie Devil;Devil;Devil;And I want devil hunters... Dead! Y'know, little devil hunter, these guys are dumb as hell. Total suckers! I offer them a bit of demonic power, and they offer to become my slaves... Even though the power turns them into zombies. See, because I'm the Zombie Devil. And I hate devil hunters, because you go around killing us devils. So I'm gonna kill you. Boys, tear him apart and toss him in the trash.
22;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Shit! How do I get out of here? Get off! It's not like I'm asking to be rich. All I want is a normal life! And I can't even have that?! Pochita... Pochita! Pochita, time for work. Pochita, there's a good chance I'm gonna die fighting a devil. My only regret would be leaving you on your own. You could end up starving to death... Or some other devil hunter might kill you. I've heard some devils can take over dead bodies. If that's something you can do... then I want you to have my body. The yakuza won't be on your case if you wait until I've been buried, right? And then you could move out of here... and then... Yeah. I want you to live a normal life, and die a normal death. You've gotta make my dream come true. Pochita? Did you take my body, like I said?
23;1;1;Dog & Chainsaw;Pochita;Devil;Devil;I always loved hearing you talk about your dreams, Denji. Here's the deal. I'll give you my heart... And in exchange, I want you to show me your dream.
24;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Pochita?! I'm not hurt? Pochita...?
25;1;1;Dog & Chainsaw;Zombie Devil;Devil;Devil;What is this? You're alive after being sliced up? Why? Gross! I seriously hate devil hunters. Guys, go ahead and eat him.
26;1;1;Dog & Chainsaw;Denji;Hybrid;Male;These guys had plenty already, so why'd they want even more? Am I the same? I wasn't satisfied with the happiness I had with Pochita. I kept dreaming about a better life. I guess we all dream about stuff like that, huh? I can't blame you, then. And I won't, but... If you get in our way? You'll die!
27;1;1;Dog & Chainsaw;Zombie Devil;Devil;Devil;He's bound to stay dead after being eaten. What are you?! Did that devil runt take your body?! That means you're one of us!
28;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Ow...
29;1;1;Dog & Chainsaw;Zombie Devil;Devil;Devil;It hurts! Stay away!
30;1;1;Dog & Chainsaw;Denji;Hybrid;Male;Move!
31;1;1;Dog & Chainsaw;Zombie Devil;Devil;Devil;Stay back! Back! Get away! Stay away! Don't do it! Don't come near me! Die!
